num_large_appliances,total_units_purchased,total_units_purchased_on_mfr_coup,total_units_purchased_on_store_coup,num_small_appliances,num_pets,num_members_in_household,household_income,male_head_avg_work_hours,female_head_avg_work_hours,household_id,rim_market,primary_head_avg_work_hours,total_head_avg_work_hours,weekday_shopper,weekday_purchase_percentage,residence_status
12,75.0000,2,1,13,0,2,11,40,40,1100032,1,40,80,0,0.41333333,1
2,221.0000,8,2,10,1,3,3,0,40,1100107,1,40,40,0,0.29864253,2
14,169.0000,2,0,19,0,4,9,40,40,1100131,1,40,80,0,0.47928994,1
0,20.0000,0,0,10,0,1,2,0,0,1100172,1,0,0,1,0.75000000,2
14,115.0000,0,2,17,0,4,8,40,38,1100180,1,38,78,1,0.87826087,1
4,28.0000,0,1,4,0,1,2,0,0,1100198,1,0,0,1,0.64285714,2
6,145.0000,5,0,10,0,1,2,0,0,1100255,1,0,0,1,0.84827586,1
4,109.0000,3,3,8,0,2,3,0,0,1100289,1,0,0,1,0.75229358,1
10,147.0000,8,31,18,0,2,7,20,12,1100297,1,12,32,1,0.67346939,1
10,67.0000,1,1,15,1,3,6,0,40,1100313,1,40,40,1,0.71641791,1
12,164.0000,9,16,13,0,5,5,40,0,1100339,1,0,40,1,0.93292683,1
2,618.0000,0,36,4,2,2,2,0,22,1100347,1,22,22,1,0.90129450,1
12,128.0000,8,31,12,1,2,2,20,40,1100354,1,40,60,1,0.83593750,1
2,29.0000,0,3,8,0,1,4,0,36,1100404,1,36,36,1,0.65517241,2
14,147.0000,1,0,15,1,5,5,40,42,1100487,1,42,82,1,0.71428571,1
12,84.0000,5,0,12,0,2,7,0,0,1100578,1,0,0,1,0.75000000,1
12,158.0000,5,26,16,0,2,5,0,0,1100586,1,0,0,1,0.67721519,1
6,54.0000,0,0,16,2,3,10,60,45,1100602,1,45,105,0,0.24074074,2
12,104.0000,5,3,10,1,4,3,0,43,1100628,1,43,43,1,0.69230769,1
12,177.0000,9,10,12,1,2,4,0,35,1100644,1,35,35,1,0.67231638,1
12,425.0000,19,8,12,0,5,5,40,0,1100651,1,0,40,1,0.52235294,1
8,60.0000,3,0,14,1,2,7,45,40,1100677,1,40,85,0,0.28333333,1
12,89.0000,0,5,17,1,5,7,50,20,1100701,1,20,70,1,0.77528090,1
14,61.0000,0,0,17,0,2,9,40,40,1100719,1,40,80,1,0.85245902,1
12,247.0000,6,3,16,2,2,7,44,21,1100735,1,21,65,0,0.46963563,1
2,466.0000,3,0,4,0,2,8,0,0,1100743,1,0,0,1,1.00000000,1
8,20.0000,4,0,2,0,1,1,0,0,1100750,1,0,0,1,0.60000000,1
8,189.0000,7,9,13,1,3,5,0,40,1100792,1,40,40,0,0.21164021,1
12,225.0000,0,1,17,0,4,9,50,8,1100818,1,8,58,1,0.87111111,1
8,62.0000,0,0,10,1,2,3,30,35,1100859,1,35,65,1,0.74193548,1
4,35.0000,6,3,6,0,1,1,0,0,1100867,1,0,0,1,1.00000000,2
14,153.0000,5,4,17,1,4,11,40,25,1100875,1,25,65,1,0.85620915,1
3,59.0000,0,0,5,0,1,3,0,0,1100883,1,0,0,1,0.84745763,2
12,348.0000,0,1,18,1,3,7,60,9,1100966,1,9,69,1,0.90804598,1
12,194.0000,0,2,15,0,4,12,50,40,1101014,1,40,90,0,0.18556701,1
12,113.0000,0,31,13,0,2,9,20,35,1101022,1,35,55,1,0.53097345,1
6,171.0000,1,0,9,1,5,5,30,40,1101048,1,40,70,1,0.67251462,1
2,26.0000,0,1,14,0,2,2,30,0,1101063,1,0,30,1,0.73076923,2
12,178.0000,1,4,13,0,2,4,21,20,1101097,1,20,41,1,0.84831461,1
14,11.0000,0,0,8,1,1,2,0,0,1101162,1,0,0,1,1.00000000,1
11,91.0000,7,6,13,1,3,7,45,28,1101204,1,28,73,1,0.84615385,1
2,95.0000,0,0,12,0,1,5,0,40,1101220,1,40,40,1,0.71578947,2
10,26.0000,2,0,13,1,3,9,50,40,1101261,1,40,90,1,0.69230769,1
10,29.0000,0,0,16,0,1,4,0,45,1101311,1,45,45,1,0.58620690,1
14,74.0000,0,4,15,1,5,11,40,36,1101329,1,36,76,1,0.94594595,1
8,342.0000,7,5,15,0,6,6,40,40,1101378,1,40,80,1,0.69883041,1
10,226.0000,33,13,19,1,4,7,60,8,1101402,1,8,68,1,0.68141593,1
2,107.0000,0,0,11,0,1,4,0,40,1101410,1,40,40,1,0.64485981,2
10,199.0000,6,1,15,0,4,6,40,40,1101428,1,40,80,1,0.80402010,1
14,48.0000,0,0,8,0,1,3,0,40,1101444,1,40,40,0,0.43750000,1
13,217.0000,3,3,13,1,5,9,50,20,1101485,1,20,70,1,0.80645161,1
10,168.0000,0,1,12,0,2,4,0,45,1101519,1,45,45,1,0.98214286,2
12,484.0000,0,0,13,1,5,11,50,41,1101543,1,41,91,1,0.76652893,1
14,128.0000,0,3,17,0,3,9,50,25,1101568,1,25,75,1,0.70312500,1
10,40.0000,1,0,10,1,1,3,0,0,1101618,1,0,0,1,0.80000000,1
8,328.0000,4,10,13,3,4,6,40,36,1101675,1,36,76,0,0.41768293,1
12,67.0000,0,12,12,0,2,3,40,40,1101683,1,40,80,1,0.70149254,1
10,87.0000,0,0,17,1,2,10,45,35,1101717,1,35,80,1,0.63218391,1
8,40.0000,1,1,13,0,1,2,0,20,1101758,1,20,20,1,0.87500000,1
14,53.0000,3,10,18,1,3,11,60,40,1101782,1,40,100,1,0.64150943,1
10,250.0000,0,4,19,3,4,8,44,40,1101790,1,40,84,1,0.74000000,1
12,120.0000,3,2,15,0,2,4,0,0,1101824,1,0,0,1,0.64166667,1
12,57.0000,4,12,14,1,2,4,40,40,1101832,1,40,80,1,0.52631579,1
12,128.0000,0,0,12,0,3,5,30,40,1101865,1,40,70,1,0.70312500,1
